,exp_name,betray_percentage,cooperate_percentage
0,repe-mistral-nemo-neuroticism-minus,0.0,0.0
1,repe-mistral-nemo-openness-plus-prompting-cot,0.0,100.0
2,repe-mistral-nemo-neuroticism-plus,0.0,0.0
3,repe-mistral-nemo-conscientiousness-plus,0.0,0.0
4,repe-mistral-nemo-agreeableness-plus,0.0,0.0
5,repe-mistral-nemo-neuroticism-minus-prompting,82.5,17.5
6,repe-mistral-nemo-conscientiousness-plus-prompting-cot,0.0,100.0
7,repe-mistral-nemo-agreeableness-minus-cot,0.0,0.0
8,repe-mistral-nemo-conscientiousness-plus-cot,0.0,0.0
9,repe-mistral-nemo-neuroticism-plus-prompting-cot,100.0,0.0
10,repe-mistral-nemo-extraversion-plus-cot,0.0,0.0
11,repe-mistral-nemo-neuroticism-plus-prompting,75.5,24.5
12,repe-mistral-nemo-extraversion-plus,0.0,0.0
13,repe-mistral-nemo-neuroticism-plus-cot,0.0,0.0
14,repe-mistral-nemo-extraversion-minus-prompting-cot,0.0,100.0
15,repe-mistral-nemo-extraversion-plus-prompting-cot,78.0,22.0
16,repe-mistral-nemo-agreeableness-plus-prompting-cot,0.0,100.0
17,repe-mistral-nemo-agreeableness-minus-prompting,100.0,0.0
18,repe-mistral-nemo-cot-baseline,0.0,0.0
19,repe-mistral-nemo-extraversion-minus-prompting,85.0,15.0
20,repe-mistral-nemo-openness-minus,0.0,0.0
21,repe-mistral-nemo-openness-plus-prompting,35.0,65.0
22,repe-mistral-nemo-openness-minus-prompting-cot,100.0,0.0
23,repe-mistral-nemo-conscientiousness-minus-cot,0.0,0.0
24,repe-mistral-nemo-conscientiousness-minus-prompting-cot,100.0,0.0
25,repe-mistral-nemo-conscientiousness-minus-prompting,99.5,0.5
26,repe-mistral-nemo-neuroticism-minus-prompting-cot,0.0,100.0
27,repe-mistral-nemo-extraversion-plus-prompting,50.5,49.0
28,repe-mistral-nemo-openness-minus-prompting,79.5,20.5
29,repe-mistral-nemo-baseline,0.0,0.0
30,repe-mistral-nemo-openness-plus-cot,0.0,0.0
31,repe-mistral-nemo-agreeableness-minus,0.0,0.0
32,repe-mistral-nemo-openness-minus-cot,0.0,0.0
33,repe-mistral-nemo-neuroticism-minus-cot,0.0,0.0
34,repe-mistral-nemo-agreeableness-minus-prompting-cot,100.0,0.0
35,repe-mistral-nemo-agreeableness-plus-cot,0.0,0.0
36,repe-mistral-nemo-openness-plus,0.0,0.0
37,repe-mistral-nemo-extraversion-minus-cot,0.0,0.0
38,repe-mistral-nemo-agreeableness-plus-prompting,2.0,98.0
39,repe-mistral-nemo-conscientiousness-minus,0.0,0.0
40,repe-mistral-nemo-conscientiousness-plus-prompting,11.5,88.5
41,repe-mistral-nemo-extraversion-minus,0.0,0.0
